n,merge,hybrid5,hybrid10,hybrid20,hybrid30,hybrid50
57600,37930,32163,28905,29648,25392,34805
57700,47857,36399,29194,27869,25116,25135
57800,35923,32344,33791,26965,28433,24368
57900,42545,33310,45348,38015,28035,25505
58000,39965,32553,30434,30432,32131,25574
58100,42538,34030,29528,30494,30033,36392
58200,46093,34089,32153,27109,26342,25570
58300,36209,33645,38217,29162,25298,24848
58400,36137,34295,47014,34927,25236,24778
58500,36608,36167,32347,27589,25126,25463
58600,36157,38164,30805,58448,78012,78340
58700,88435,65751,41201,75103,87496,94003
58800,122530,58578,47059,68894,33556,50508
58900,49239,51141,60674,27009,52315,74796
59000,110103,37106,31538,33812,75558,101911
59100,140870,95164,57032,44584,26962,26233
59200,46929,102781,69351,29523,26335,31394
59300,58700,45960,33369,28358,26360,24310
59400,51622,33241,31502,27121,26001,26399
59500,39885,37205,39836,34500,35581,32978
59600,37913,37135,30309,29772,31216,27480
59700,56711,33125,30457,31417,36951,36059
59800,38214,33527,34850,29690,27252,31170
59900,44559,55986,33537,28834,25770,29442
60000,59686,39431,32349,29761,25492,29896
60100,51123,45410,32919,27704,27163,25302
60200,38061,42736,39214,33796,26308,26416
60300,38930,33504,33409,28054,25211,26531
60400,38951,32759,32513,30555,31024,31029
60500,48871,52174,35028,28872,25442,26509
60600,41115,35456,34445,29177,27958,26793
60700,49269,48691,38262,27592,26004,27574
60800,38087,36224,35456,28871,26565,25998
60900,38393,34018,35693,38477,32208,27095
61000,37939,39389,31722,28233,25062,26224
61100,42312,39602,47044,64714,40561,49333
61200,49335,38699,58507,96349,45857,44813
61300,79942,104502,44009,32923,38451,52196
61400,50437,47551,53019,64692,68428,85614
61500,47529,39899,39314,31674,31495,74713
61600,143759,127420,105487,75395,42833,54639
61700,42938,56097,53090,52031,39582,48311
61800,90083,70817,55977,77643,30150,28877
61900,65727,37675,62673,36163,30872,37661
62000,81281,61327,50201,36883,55940,61619
62100,45447,66176,44932,46489,35189,26416
62200,72025,37111,31450,30614,31511,27735
62300,39268,36272,31775,29693,36269,38221
62400,44342,36017,35713,29907,27538,26026
62500,42415,35207,34687,39948,27879,27126
62600,48753,53881,45263,56181,43685,39172
62700,58921,55561,48914,51382,81861,54575
62800,91804,37200,48187,46270,33318,35865
62900,41520,71278,78666,79063,74121,34048
63000,39582,35175,32460,33461,28680,29452
63100,39062,37624,31906,36719,42447,31095
63200,39822,35996,32876,34546,30065,27733
63300,45204,35747,34373,31234,32809,36223
63400,51425,36753,34349,28982,30578,27079
63500,40043,34815,31895,32122,41896,93295
63600,139362,73273,41856,36778,36709,28558
63700,40905,40233,32303,35350,32670,34536
63800,55457,36953,32725,30307,29713,28204
63900,48654,42402,38863,31101,29578,26878
64000,48788,42134,35150,29999,31553,28974
64100,40276,38016,66144,30486,36653,34408
64200,50489,56696,38886,33917,30330,28445
64300,42116,41092,37699,31046,35149,28229
64400,51718,67996,51982,35103,34519,28733
64500,46780,41236,38420,30521,34420,31833
64600,41800,38398,52338,60247,68386,31964
64700,56106,42041,42086,40213,32148,30355
64800,49679,38284,45191,37173,39459,29253
64900,42292,37827,32469,29156,29330,31592
65000,40953,36136,35552,34466,38779,40600
65100,42439,41528,33556,38133,33515,27461
65200,40513,37160,35076,31937,30161,37151
65300,52344,42735,33339,31949,34761,28929
